Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.018544,0.00087049,0.031419,0,0,0,0.33413,0.00025339,-1.6046E-07,5.6225E-08,0.0006349,-5.1059E-09,0.00073901,0,0,0,0,0,0,package://standford_pupper/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://standford_pupper/meshes/base_link.STL,,"Stanford Pupper Public v1_step.step-1/Raspberry Pi 4 Model B.step-1/PCB, RPi4ModelB.step-1;Stanford Pupper Public v1_step.step-1/Body.step-1/Body-1.step-1;Stanford Pupper Public v1_step.step-1/Body.step-1/Body-3.step-1;Stanford Pupper Public v1_step.step-1/Body.step-1/Bottom.step-1;Stanford Pupper Public v1_step.step-1/Body.step-1/Body-0.step-1;Stanford Pupper Public v1_step.step-1/Hip Assembly.step-1/CLS6336HV.step-1;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-1/CLS6336HV v8(Mirror).step-1;Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/CLS6336HV.step-1;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/CLS6336HV v8(Mirror).step-1;Stanford Pupper Public v1_step.step-1/Body.step-1/Top.step-1;Stanford Pupper Public v1_step.step-1/Body.step-1/Body-2.step-1;Stanford Pupper Public v1_step.step-1/Raspberry Pi 4 Model B.step-1/Gigabit Ethernet Port, RPi4ModelB.step-1;Stanford Pupper Public v1_step.step-1/Raspberry Pi 4 Model B.step-1/2X USB3.step-1;Stanford Pupper Public v1_step.step-1/Rpi_4_Case_official_rPI_HDMI_cable.step-1;Stanford Pupper Public v1_step.step-1/Raspberry Pi 4 Model B.step-1/Broadcom BCM2711B0 CPU, RPi4ModelB.step-1;Stanford Pupper Public v1_step.step-1/Raspberry Pi 4 Model B.step-1/Cypress CYW43455 Wireless Module Cover, RPi4ModelB.step-1;Stanford Pupper Public v1_step.step-1/Raspberry Pi 4 Model B.step-1/91D77 D9WHV 778K, 4 GB LPDDR4 SDRAM, RPi4ModelB.step-1;Stanford Pupper Public v1_step.step-1/Raspberry Pi 4 Model B.step-1/Display Connector, RPi4ModelB.step-1;Stanford Pupper Public v1_step.step-1/Raspberry Pi 4 Model B.step-1/Female USB Type C Connector, RPi4ModelB.step-1;Stanford Pupper Public v1_step.step-1/Raspberry Pi 4 Model B.step-1/Female Micro HDMI Connector, RPi4ModelB.step-2;Stanford Pupper Public v1_step.step-1/Raspberry Pi 4 Model B.step-1/Female Micro HDMI Connector, RPi4ModelB.step-1;Stanford Pupper Public v1_step.step-1/Raspberry Pi 4 Model B.step-1/2X USB2.step-1",Origin_global_robot_base,,RH_SHANK_FOOT_JOINT,fixed,0.0039276,-0.10457,-0.065584,0,0,0,RH_SHANK_ADAPTER,0,0,0,,,,,,,,,,,,
LF_HIP,0.0365812971787797,0.0426099773441924,0.00185777196453616,0,0,0,0.0618848497129106,9.80296683009937E-06,-1.69355129426917E-07,-7.29481875010862E-09,2.01138872250656E-05,-9.70326633800597E-08,2.23611367346078E-05,0,0,0,0,0,0,package://standford_pupper/meshes/LF_HIP.STL,0.972549019607843,0.968627450980392,0.929411764705882,1,0,0,0,0,0,0,package://standford_pupper/meshes/LF_HIP.STL,,Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/Hip Bracket v10(Mirror).step-1/Hip Bracket v10(Mirror)-11.step-1;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/Hip Bracket v10(Mirror).step-1/Servo Disc v3(Mirror).step-1;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/Hip Bracket v10(Mirror).step-1/CLS6336HV v8(Mirror).step-2;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/Hip Bracket v10(Mirror).step-1/Hip Bracket v10(Mirror)-10.step-1;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/Hip Bracket v10(Mirror).step-1/Standoff(Mirror).step-2;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/Hip Bracket v10(Mirror).step-1/Standoff(Mirror).step-3;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/Hip Bracket v10(Mirror).step-1/Standoff(Mirror).step-4;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/Hip Bracket v10(Mirror).step-1/91239A120(Mirror).step-3;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/Hip Bracket v10(Mirror).step-1/91239A120(Mirror).step-4;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/Hip Bracket v10(Mirror).step-1/91239A115(Mirror).step-4;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/Hip Bracket v10(Mirror).step-1/96817A510(Mirror).step-4;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/Hip Bracket v10(Mirror).step-1/96817A510(Mirror).step-3;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/Hip Bracket v10(Mirror).step-1/Standoff(Mirror).step-1,LF_HIP_JOINT,,LF_HIP_JOINT,revolute,0.0705,0.04,0.02425,0,0,0,base_link,1,0,0,0,0,-3.14,3.14,,,,,,,,
LF_THIGH,0.000416263833067837,-0.0448623247780063,-0.0282058620776917,0,0,0,0.00699575122952272,5.33258296820763E-06,-1.09793894111892E-07,-7.19062595108185E-08,1.56698471961628E-06,-2.32604780778113E-06,3.81208162588796E-06,0,0,0,0,0,0,package://standford_pupper/meshes/LF_THIGH.STL,0.0980392156862745,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://standford_pupper/meshes/LF_THIGH.STL,,Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/Upper Leg v27(Mirror).step-1;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/Hobbypark 25T Servo Horn v5(Mirror).step-1;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/7806K55(Mirror).step-2;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/7806K55(Mirror).step-1;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/92981A143(Mirror).step-1;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/90576A102(Mirror).step-1,LF_THIGH_JOINT,,LF_THIGH_JOINT,revolute,0.02735,0.029523,0.0012724,0,0,-1.5708,LF_HIP,0,1,0,0,0,-3.14,3.14,,,,,,,,
LF_THIGH_FOOT,0.0400207294706894,0.00580157144181588,-0.0245634188838409,0,0,0,0.00294875271828147,1.57883853240812E-06,-2.18425637027677E-07,2.52929226772439E-06,5.77701665735404E-06,1.3516815084111E-07,4.22348978272302E-06,0,0,0,0,0,0,package://standford_pupper/meshes/LF_THIGH_FOOT.STL,0.0980392156862745,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://standford_pupper/meshes/LF_THIGH_FOOT.STL,,Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/Lower Leg v28(Mirror).step-1,LF_THIGH_FOOT_JOINT,,LF_THIGH_FOOT_JOINT,revolute,-0.00516,-0.10458,-0.065536,-0.043072,0,1.5708,LF_THIGH,0,1,0,0,0,-3.14,3.14,,,,,,,,
LF_SHANK,-0.00717938080547156,0.00387027281097423,0.00319071168613303,0,0,0,0.00225320089053614,8.02248786982967E-08,-1.41933607659177E-08,8.79755711002178E-08,3.03941229129633E-07,7.14031364970975E-09,2.46886061308136E-07,0,0,0,0,0,0,package://standford_pupper/meshes/LF_SHANK.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://standford_pupper/meshes/LF_SHANK.STL,,Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/92095A182(Mirror).step-1;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/Hobbypark 25T Servo Horn v5(Mirror).step-2;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/Linkage RED18020 v8(Mirror) (1).step-1/Component2(Mirror) (1).step-1,LF_SHANK_JOINT,,LF_SHANK_JOINT,revolute,0.02735,0.031421,0.0013542,0,0,0,LF_HIP,0,1,0,0,0,-3.14,3.14,,,,,,,,
LF_SHANK_ADAPTER,-0.0551615728225519,0.00020409544775668,-0.0348365252221961,0,0,0,0.00397235970743488,1.47759433792871E-06,1.38420152684187E-07,-2.31210732266063E-06,5.15734061812921E-06,8.68648726725953E-08,3.71419584685528E-06,0,0,0,0,0,0,package://standford_pupper/meshes/LF_SHANK_ADAPTER.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://standford_pupper/meshes/LF_SHANK_ADAPTER.STL,,Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/90576A102(Mirror).step-2;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/92095A184(Mirror).step-1;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/Linkage RED18020 v8(Mirror) (1).step-1/Linkage RED18020 v8(Mirror) (1)-12.step-1;Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/Linkage RED18020 v8(Mirror) (1).step-1/Component1(Mirror) (1).step-1,LF_SHANK_ADAPTER_JOINT,,LF_SHANK_ADAPTER_JOINT,continuous,-0.032244,-0.00010228,0.013881,0,0,0,LF_SHANK,0,1,0,,,,,,,,,,,,
LF_THIGH_FOOT1,0.0722624439279006,0.00583771828954917,-0.0384894628670561,0,0,0,0.00294875271828147,1.57883853240812E-06,-2.18425637027677E-07,2.52929226772439E-06,5.77701665735404E-06,1.3516815084111E-07,4.22348978272302E-06,0,0,0,0,0,0,package://standford_pupper/meshes/LF_THIGH_FOOT1.STL,0.0980392156862745,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://standford_pupper/meshes/LF_THIGH_FOOT1.STL,,Stanford Pupper Public v1_step.step-1/Hip Assembly v5(Mirror).step-2/Lower Leg v28(Mirror).step-1,LF_SHANK_FOOT_JOINT,,LF_SHANK_FOOT_JOINT,fixed,-0.10457,0.0039276,-0.065584,-0.043072,0,0,LF_SHANK_ADAPTER,0,0,0,,,,,,,,,,,,
RF_HIP,0.0365903752423038,-0.0426111582497293,0.00183649833226443,0,0,0,0.0619678067999357,9.80408326125515E-06,1.69340654353999E-07,-7.30313327265973E-09,2.01140661542384E-05,9.70791831727178E-08,2.23622732390163E-05,0,0,0,0,0,0,package://standford_pupper/meshes/RF_HIP.STL,0.972549019607843,0.968627450980392,0.929411764705882,1,0,0,0,0,0,0,package://standford_pupper/meshes/RF_HIP.STL,,Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/Hub_1.step-1/Hub_1-9.step-1;Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/Hub_1.step-1/Standoff.step-2;Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/Hub_1.step-1/Standoff.step-1;Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/Hub_1.step-1/Standoff.step-4;Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/Hub_1.step-1/Standoff.step-3;Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/Hub_1.step-1/Hub_1-8.step-1;Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/Hub_1.step-1/CLS6336HV.step-2;Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/Hub_1.step-1/96817A510.step-3;Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/Hub_1.step-1/96817A510.step-4;Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/Hub_1.step-1/91239A115.step-2;Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/Hub_1.step-1/91239A115.step-4;Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/Hub_1.step-1/91239A120.step-4;Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/Hub_1.step-1/91239A120.step-3;Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/Hub_1.step-1/Servo Disc.step-1,RF_HIP_JOINT,,RF_HIP_JOINT,revolute,0.0705,-0.04,0.02425,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
RF_THIGH,-0.000416280212157352,-0.0448620905291121,-0.028205717437516,0,0,0,0.00699575857395036,5.33226872771188E-06,1.09787606416044E-07,7.19026275634151E-08,1.56689448277533E-06,-2.32590435921299E-06,3.81185780098125E-06,0,0,0,0,0,0,package://standford_pupper/meshes/RF_THIGH.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://standford_pupper/meshes/RF_THIGH.STL,,Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/Hobbypark 25T Servo Horn.step-1;Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/Upper Leg.step-1;Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/92981A143.step-1;Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/7806K55.step-1;Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/7806K55.step-2;Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/90576A102.step-1,RF_THIGH_JOINT,,RF_THIGH_JOINT,revolute,0.02735,-0.029523,0.0012724,0,0,-1.5708,RF_HIP,0,1,0,0,0,-3.14,3.14,,,,,,,,
RF_THIGH_FOOT,0.0400206740186526,-0.00366666666744254,-0.0249714454430378,0,0,0,0.00294874796159802,1.57883468683634E-06,-5.13763026028603E-17,2.53870128410523E-06,5.7886794158468E-06,-7.44483772606523E-17,4.21181057403744E-06,0,0,0,0,0,0,package://standford_pupper/meshes/RF_THIGH_FOOT.STL,0.0980392156862745,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://standford_pupper/meshes/RF_THIGH_FOOT.STL,,Stanford Pupper Public v1_step.step-1/Hip Assembly_1.step-1/Lower Leg.step-1,RF_THIGH_FOOT_JOINT,,RF_THIGH_FOOT_JOINT,revolute,0.00516,-0.10458,-0.065536,-0.043072,0,1.5708,RF_THIGH,0,1,0,0,0,-3.14,3.14,,,,,,,,
