Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.183E-14,1.3076E-14,0.55565,0,0,0,1.5634,0.007438,1.5146E-18,3.0063E-16,0.019355,6.1156E-17,0.022991,0,0,0,0,0,0,package://dw_descliption3/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://dw_descliption3/meshes/base_link.STL,,Body_comp-1,座標系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
A0_Link,-3.0966E-05,1.5445E-05,-0.027804,0,0,0,1.174,0.00066725,-4.261E-09,9.7367E-09,0.00066813,-6.9091E-09,0.0012253,0,0,0,0,0,0,package://dw_descliption3/meshes/A0_Link.STL,1,1,1,1,0,0,0,0,0,0,package://dw_descliption3/meshes/A0_Link.STL,,First_Joint-3,Origin_A0_joint,,A0_joint,fixed,0.3,-0.083,0.55565,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
A1_Link,-0.006102,-0.076629,0.007671,0,0,0,1.1557,0.00080796,7.0307E-06,9.8387E-09,0.00089568,-6.5363E-09,0.0013937,0,0,0,0,0,0,package://dw_descliption3/meshes/A1_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://dw_descliption3/meshes/A1_Link.STL,,Second_Foot-4,Origin_A1_joint,Axis_A1_joint,A1_joint,revolute,0,0,0,-1.5708,0.07854,-1.5708,A0_Link,0.078459,0.99692,0,1000,1000,-1.5075,1.5075,,,10,10,,,,
A2_Link,-1.215E-05,-0.11553,0.14008,0,0,0,3.0792,0.0033497,-3.3234E-08,-8.4729E-07,0.0027749,2.5095E-05,0.0054304,0,0,0,0,0,0,package://dw_descliption3/meshes/A2_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://dw_descliption3/meshes/A2_Link.STL,,Third_Foot-2,Origin_A2_joint,Axis_A2_joint,A2_joint,revolute,-0.0065513,-0.083243,0.0315,0,0,-2.4347,A1_Link,0,0,1,1000,1000,-1.5075,1.5075,,,10,10,,,,
A3_Link,-3.0691E-08,-0.19011,0.10587,0,0,0,1.723,0.0071994,-1.4133E-11,1.5336E-09,0.00075757,3.5455E-05,0.0075465,0,0,0,0,0,0,package://dw_descliption3/meshes/A3_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://dw_descliption3/meshes/A3_Link.STL,,Fourth_Foot-1,Origin_A3_joint,Axis_A3_joint,A3_joint,revolute,0,-0.32,0.135,0,0,1.5708,A2_Link,0,0,1,1000,1000,-1.5075,1.5075,,,10,10,,,,
B0_Link,-3.0966E-05,1.5445E-05,-0.027804,0,0,0,1.174,0.00066725,-4.261E-09,9.7367E-09,0.00066813,-6.9091E-09,0.0012253,0,0,0,0,0,0,package://dw_descliption3/meshes/B0_Link.STL,1,1,1,1,0,0,0,0,0,0,package://dw_descliption3/meshes/B0_Link.STL,,First_Joint-4,Origin_B0_joint,,B0_joint,fixed,0.3,0.083,0.55565,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
B1_Link,-0.006102,-0.076629,0.007671,0,0,0,1.1557,0.00080796,7.0307E-06,9.8389E-09,0.00089568,-6.5362E-09,0.0013937,0,0,0,0,0,0,package://dw_descliption3/meshes/B1_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://dw_descliption3/meshes/B1_Link.STL,,Second_Foot-2,Origin_B1_joint,Axis_B1_joint,B1_joint,revolute,0,0,0,-1.5708,0.07854,1.5708,B0_Link,0.078459,0.99692,0,1000,1000,-1.5075,1.5075,,,10,10,,,,
B2_Link,-1.215E-05,-0.11553,0.14008,0,0,0,3.0792,0.0033497,-3.3234E-08,-8.4729E-07,0.0027749,2.5095E-05,0.0054304,0,0,0,0,0,0,package://dw_descliption3/meshes/B2_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://dw_descliption3/meshes/B2_Link.STL,,Third_Foot-4,Origin_B2_joint,Axis_B2_joint,B2_joint,revolute,-0.0065513,-0.083243,0.0315,0,0,2.2777,B1_Link,0,0,1,1000,1000,-1.5075,1.5075,,,10,10,,,,
B3_Link,-3.0691E-08,-0.19011,0.10587,0,0,0,1.723,0.0071994,-1.4133E-11,1.5336E-09,0.00075757,3.5455E-05,0.0075465,0,0,0,0,0,0,package://dw_descliption3/meshes/B3_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://dw_descliption3/meshes/B3_Link.STL,,Fourth_Foot-2,Origin_B3_joint,Axis_B3_joint,B3_joint,revolute,0,-0.32,0.135,0,0,-1.5708,B2_Link,0,0,1,1000,1000,-1.5075,1.5075,,,10,10,,,,
C0_Link,-3.0966E-05,1.5445E-05,-0.027804,0,0,0,1.174,0.00066725,-4.2609E-09,9.7367E-09,0.00066813,-6.9091E-09,0.0012253,0,0,0,0,0,0,package://dw_descliption3/meshes/C0_Link.STL,1,1,1,1,0,0,0,0,0,0,package://dw_descliption3/meshes/C0_Link.STL,,First_Joint-2,Origin_C0_joint,,C0_joint,fixed,-0.3,-0.083,0.55565,1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
